,label,text,tense,direction,over-polarity
0,joy,When I understood that I was admitted to the University.,xxpre xxpas xxfut,xxsel xxoth,xxpos
1,fear,I broke a window of a neighbouring house and I feared my mother's judgement and action on what I had done.,xxfut xxpas,xxsel,xxneg
2,joy,Got a big fish in fishing.,xxpre xxpas xxfut,xxsel xxoth,xxpos
3,fear,"""Whenever I am alone in a dark room, walk alone on the street, sleep alone in the room at night or see something which is only partly visible.  This emotion was very strong when as an 8 year   old child I saw something horrible.  """,xxfut xxpas,xxsel,xxneg
4,shame,I bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter.,,xxsel,xxneg
5,disgust,I read about a murderer who brutalized his victims by cutting open their stomaches and taking out their bowels.,xxpre xxpas xxfut,xxoth,xxneg
6,joy,The day that my boyfriend appeared at home with a pair of rings for our wedding.,xxpre xxpas xxfut,xxsel xxoth,xxpos
7,guilt,"""I went to a pub with a group of friends (not very close) and I was with one girl most of the time, while the other girls in the group wanted to be with me.  They stopped talking to the girl I was with.""",xxpre xxpas xxfut,xxoth,xxneg
8,anger,Had an insulting letter from my father.,,xxoth,xxneg
9,fear,I was to be given an audition to get a role. I had a competitress and I wasn't well prepared because I was ill.,xxfut xxpas,xxsel,xxneg
10,anger,My mother and my sister carried on picking at me all day long for no reason at all and I ended up getting angry.,,xxoth,xxneg
11,guilt,"""When I see that my mother forces my little brother (15 years) to work very hard for school. I don't agree that she constantly puts him to work, but I don't tell it to her, so nothing changes.""",xxpre xxpas xxfut,xxoth,xxneg
12,joy,When we got a young dog.,xxpre xxpas xxfut,xxsel xxoth,xxpos
13,anger,I am a teacher in arts and crafts (boys from 15-16 years). for them it is obligatory and they dislike it. They tease me. When one of them cut up some material I flared up.,,xxoth,xxneg
14,anger,When I saw my brother being attacked and I could not do anything.,,xxoth,xxneg
15,shame,"""When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.""",,xxsel,xxneg
16,guilt,After I had cheated my parents that I had lost my textbooks so they had to send me money.,xxpre xxpas xxfut,xxoth,xxneg
17,disgust,When I see rotten meat.,xxpre xxpas xxfut,xxoth,xxneg
18,joy,Going to a friend's wedding and seeing many of my old friends whom I had known before I moved to a new district five years previously.,xxpre xxpas xxfut,xxsel xxoth,xxpos
19,guilt,"""When my sister had the opportunity to do some modelling work. And I was quite jealous - later on the photographer decided not to take her photograph, and she was very upset - I felt guilty as a result, almost as if I had caused her to lose her opportunity, by not being genuinely happy for her in the first place.""",xxpre xxpas xxfut,xxoth,xxneg
20,shame,When I was a child my parents caught me with a pornographic magazine.,,xxsel,xxneg
21,shame,"""I am left-handed. When I attended the first form, we learned to write with pens. I smeared everything I had written. All my friends had written well and wanted to know why the teacher was looking at my note-book. I was ashamed.""",,xxsel,xxneg
22,anger,I worked together with another student on a computer-assignment. She didn't do her best and didn't prepare herself for it. She expected me to explain it to her.,,xxoth,xxneg
23,fear,Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone.,xxfut xxpas,xxsel,xxneg
24,joy,"""After a busy day I went back to my hostel.  I closed the door and had a drink, then I read my favourite book on the bed.  Suddenly I felt peace and joy.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
25,shame,We got into a fight with some chaps in front of our family house. The value of the property destroyed was approximately 15 000 FIM. I felt ashamed when my parents came to know about this.,,xxsel,xxneg
26,disgust,When my friend who was drunk insulted me in public for no reason at all.,xxpre xxpas xxfut,xxoth,xxneg
27,disgust,Disgust with myself for consistently making foolish errors in communicating with others (asking for 1/2 Kg of nuts when I only wanted 50 g).,xxpre xxpas xxfut,xxoth,xxneg
28,fear,I was afraid when I met my Uncle because this time I was with my boyfriend I thought I was not going to be given pocket money.,xxfut xxpas,xxsel,xxneg
29,fear,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it.,xxfut xxpas,xxsel,xxneg
30,anger,A colleague asked me to study with her. I could not explain things as perfectly as she had expected. So she reacted in an aggressive manner.,,xxoth,xxneg
31,fear,I felt afraid of losing somebody I love to another person because I was an incomprehensive person and lots of time I fight with this person.,xxfut xxpas,xxsel,xxneg
32,anger,"""I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation.""",,xxoth,xxneg
33,sadness,"""My mother kicked my surrogate father out and he in turn did not care for the dog, Afthur, he bought for the family. His lack of concern lead tho Arthur's death on the freeway. I loved Arthur like a brother. He was easy to talk to.""",xxpre xxpas,xxsel,xxneg
34,anger,My boy-friend had promised me to come home at about 10 p.m. He did not return until midnight and had consumed a lot of alcohol.,,xxoth,xxneg
35,shame,"""I had high-heeled shoes one time, but a certain girl who saw the shoes told me that they were out of fashion and I looked as an old man when I was in those shoes.""",,xxsel,xxneg
36,joy,When I could study at university.,xxpre xxpas xxfut,xxsel xxoth,xxpos
37,joy,When I learnt that I had been accepted at the medical school.,xxpre xxpas xxfut,xxsel xxoth,xxpos
38,joy,When I saw my family after a separation of one year.,xxpre xxpas xxfut,xxsel xxoth,xxpos
39,guilt,When my parents quarelled over something I had done and which was wrong.,xxpre xxpas xxfut,xxoth,xxneg
40,sadness,Death of my grandmother.,xxpre xxpas,xxsel,xxneg
41,sadness,My best friend had a relatively severe illness.  I was sad because she was suffering.,xxpre xxpas,xxsel,xxneg
42,shame,When inadvertantly I found myself in the ladies room.,,xxsel,xxneg
43,shame,"""When I had slept with a boy for the first time I felt ashamed for three reasons. First, because I was only 13 years old, second, because I did not really like him, third, because he had caught me napping.""",,xxsel,xxneg
44,shame,When I had been angry at my friend without any reason.,,xxsel,xxneg
45,guilt,"""I've always defended my sister when needed, at the expense of my brother. This has led to feelings of guilt towards him.""",xxpre xxpas xxfut,xxoth,xxneg
46,anger,"""When I talked with a teacher yesterday who, to say the least, was rude and unwise and had irrelevant opinions about a friend.""",,xxoth,xxneg
47,fear,I was walking along the passage to my room (very near the anatomy laboratory) and I heard something and felt that there was some thing behind me.  I looked back and there was no one.  I started imagining that maybe it was a corpse.,xxfut xxpas,xxsel,xxneg
48,disgust,When I boarded Yanu Yanu bus I sat near a man who was smoking tobacco.,xxpre xxpas xxfut,xxoth,xxneg
49,joy,Finding out that I can go to your English lectures.,xxpre xxpas xxfut,xxsel xxoth,xxpos
50,guilt,When I told the driver at my workplace to lie and tell the boss that it was not me who was responsible for the delay.  The boss was very annoyed and the driver was punished and a day's salary was taken away from him.,xxpre xxpas xxfut,xxoth,xxneg
51,fear,"""I was to meet one of my friends (girl) at the library at 8:00 already dark. She would be walking alone. She was 45 minutes late but I kept waiting, calling her room and other places she could have been.""",xxfut xxpas,xxsel,xxneg
52,guilt,"""Borrowing a car, and then having a minor accident (breaking a headlight).""",xxpre xxpas xxfut,xxoth,xxneg
53,guilt,"""A friend of mine got encouragement and I did not, as the supervisor did not like me.""",xxpre xxpas xxfut,xxoth,xxneg
54,guilt,"""Always, and this happens often when I do not keep my word.""",xxpre xxpas xxfut,xxoth,xxneg
55,disgust,I'm very disgusted when I see people abusing their body with drugs and alcohol. They take advantage of these things usually for an excuse for the fantasies which they like and so they do things stupidly and unjustly.,xxpre xxpas xxfut,xxoth,xxneg
56,shame,I am ashamed when I am not prepared in a subject and I have to answer in the presence of the patients.,,xxsel,xxneg
57,disgust,I was disgusted to find out that the water isn't filtered or purified before it leaves Latimer Hall from the drains.,xxpre xxpas xxfut,xxoth,xxneg
58,anger,Being treated unfairly.,,xxoth,xxneg
59,joy,When I had my children.,xxpre xxpas xxfut,xxsel xxoth,xxpos
60,shame,"""Recently, I left my bag in the car of someone who picked me up while hitch-hiking. I spent some effort to find out where he lived (I succeeded).""",,xxsel,xxneg
61,fear,Continous fear of a nuclear war.,xxfut xxpas,xxsel,xxneg
62,shame,"""I met a friend in a discotheque. he was with a girl and he told me that she was not his girlfriend.  I, to say something, commented that she must be a viscious woman.  He then told me that she was his girl.""",,xxsel,xxneg
63,anger,"""Unjust accusations directed at me and my way of acting, by someone close to me.  """,,xxoth,xxneg
64,anger,I was angry at the Cafeteria when the cook scolded and said many bad things about me without reason. He thought I was among the girls who did him wrong.,,xxoth,xxneg
65,fear,My mother had not come home at midnight.  She had forgotten to tell me about it.  I was very young and all alone at home.,xxfut xxpas,xxsel,xxneg
66,fear,When our school was raided by the pupils of the boys secondary school who beat us up.,xxfut xxpas,xxsel,xxneg
67,sadness,A very close friend left me.,xxpre xxpas,xxsel,xxneg
68,joy,Saw in TV that China had the most gold medals in the Asian Olympic.,xxpre xxpas xxfut,xxsel xxoth,xxpos
69,fear,"""My episode of fright happened when I came to study.  I had to stand in front of my still unknown fellow students and talk about myself.  My hands shook, I flushed and became tongue-tied.""",xxfut xxpas,xxsel,xxneg
70,joy,"""That was soon after the results of the interview which nearly 9,000 people attended in all the three regions of Malawi. My joy came after hearing on the radio that I was one of the people selected to undergo the Medical Assistant training at the L.S.H.S.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
71,anger,When the person I'm having the affair with won't talk to me in public.,,xxoth,xxneg
72,disgust,When a friend of mine got drunk and started to blame and scorn my other friends and me.,xxpre xxpas xxfut,xxoth,xxneg
73,guilt,I escaped from communicating with God for a long time.  I did not read the scriptures and I did not pray.  I felt that I was getting further and further away from God.  I felt guilty as this was because of my laziness.,xxpre xxpas xxfut,xxoth,xxneg
74,fear,I found myself involved in a fight in which a person died and I had to intervene with some risk.,xxfut xxpas,xxsel,xxneg
75,guilt,When I decided to take a week s holiday without consulting the family first.,xxpre xxpas xxfut,xxoth,xxneg
76,guilt,A friend came to visit me and I was not there.,xxpre xxpas xxfut,xxoth,xxneg
77,anger,"""During a trivial (friendly) discussion, one of the participants made an intervention which made me feel uncomfortable.""",,xxoth,xxneg
78,anger,"""The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry.""",,xxoth,xxneg
79,disgust,"""I had a class-mate who was rather stupid.  I did not like him but I respected him.  When he tried to talk to someone, they would not listen to him and I could not bear seeing this.""",xxpre xxpas xxfut,xxoth,xxneg
80,guilt,"""Some time ago I took the driving test. I did answer the theoretical questions very well, but I failed the practical driving test. It was my fault because I had not enough practice.""",xxpre xxpas xxfut,xxoth,xxneg
81,disgust,"""Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.""",xxpre xxpas xxfut,xxoth,xxneg
82,disgust,When the summer holiday job was almost over.,xxpre xxpas xxfut,xxoth,xxneg
83,anger,When I was punished in school for no serious mistake of mine.,,xxoth,xxneg
84,shame,"""My teacher reminded us not to do a Summer job, however I did it for two months.  Yesterday I was chatting with my teacher and when we talked of the Summer job, I felt ashamed.""",,xxsel,xxneg
85,guilt,When I was about 17 years old and I stole some pens from a stationery store because I didn't have enough money.,xxpre xxpas xxfut,xxoth,xxneg
86,disgust,Whenever I see an alcoholic.,xxpre xxpas xxfut,xxoth,xxneg
87,guilt,I feel this feeling most often before me not before the others. My outside is iron but actually I'm wasting away.,xxpre xxpas xxfut,xxoth,xxneg
88,shame,I said something especially stupid which I did not mean at all.,,xxsel,xxneg
89,disgust,"""I once got a phone call stating """"one of your friend is in jail, please come and see him"""".  When I went to the jail and saw him, I was disgusted.""",xxpre xxpas xxfut,xxoth,xxneg
90,guilt,I felt guilty at being part of the successful people. Felt guilty at being a student when other people were not. Guilt about being a potential success in various areas of society. (So stupid this emotion),xxpre xxpas xxfut,xxoth,xxneg
91,shame,My father who is very quiet discovered I was going out with a coloured boy. He called me names and was really upset.,,xxsel,xxneg
92,disgust,When I heard the bad news about the death of a close person.,xxpre xxpas xxfut,xxoth,xxneg
93,disgust,"""After buying a ticket, I lost it before I reached my destination and the bus Inspector dropped me at a place I didn't know.""",xxpre xxpas xxfut,xxoth,xxneg
94,joy,"""I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...""",xxpre xxpas xxfut,xxsel xxoth,xxpos
95,guilt,As a child - accidentally stepping on a pet guinea-pig - it dying.,xxpre xxpas xxfut,xxoth,xxneg
96,shame,A professor was going to read aloud in class a composition of mine in which I had criticized some political attitudes and also some class-mates.   I was ashamed at having written that.,,xxsel,xxneg
97,sadness,A friend told me about his cousin who is my girlfriend. He said she had treated him in a mean and nasty way. I was surprised because in front of other people she had always treated him in a friendly way. I am very sad about it.,xxpre xxpas,xxsel,xxneg
98,sadness,At set-backs.,xxpre xxpas,xxsel,xxneg
99,guilt,It is some years ago when my mother found me stealing relish in the pot. It was fresh fish which was very appetising.,xxpre xxpas xxfut,xxoth,xxneg
100,shame,I didn't do an important job and it had an adverse effect on other people.,,xxsel,xxneg
101,shame,I was angry about 3 months ago and I kicked backwards against the wall. It caved in and so I had to show it to my parents. I had been angry after my mother said something to me about not being able to find clothes in my size - something that I'm sensitive about. (6' 5'' 210),,xxsel,xxneg
102,shame,I took a girl out once and discovered that she was going around with one of my close friends.,,xxsel,xxneg
103,fear,Once I failed seven subjects at school and I was terrified to give my report card to my father.  I left it on the table and went to bed very early in order to avoid him seeing me.,xxfut xxpas,xxsel,xxneg
104,disgust,"""A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.""",xxpre xxpas xxfut,xxoth,xxneg
105,guilt,When I did not give back a text book to a friend in time.,xxpre xxpas xxfut,xxoth,xxneg
106,shame,"""I was sitting in a restaurant with friends. They asked me something which they thought I should know. Actually I know it, but at that time I was not able to remember it.""",,xxsel,xxneg
107,shame,Insulted by a teacher in front of the class.,,xxsel,xxneg
108,shame,"""When my mother looked in my drawer (where I keep my personal things) and she found some porno photos that I have kept from more than a week, and split it.""",,xxsel,xxneg
109,fear,"""It was a week before the higher level results were announced.  I had tried and failed many times and this was the last time that I was taking the exam.  I knew that if i failed again I woulld have to enter the society.  I imagined things during this period - I dreamt that I had entered university and it was a nice experience.  When I thought about the future, an unexplainable fear rose in me.  I feared being a worker and not having a bright prospect, I also feared the criticism of my relatives as my brother had gone to university.  Whenevr I thought of this issue I could not eat or concentrate, and my heart beat increased.""",xxfut xxpas,xxsel,xxneg
110,shame,"""When I asked my classmate to teach me to do my homework, he asked me to study by myself first but I did not do it.  When he asked me  if I had studied, I felt very ashamed. """,,xxsel,xxneg
111,shame,When I dated a close girlfriend's boyfriend a few times. He told me that it was over between them and I accepted it.  When she found out she finished our friendship.,,xxsel,xxneg
